SMILES,hydrogen_bond_acceptor,hydrogen_bond_donor,SLogP,atomic_polarizability,bond_polarizability,weight,Lipinski
Cl[Pt@SP1--](Cl)([NH3+])[NH3+],0,2,-1.2383000000000002,17.060757999999996,22.039241999999998,298.95559465200023,True
[NH3+][Pt--]1([NH3+])OC(=O)C2(CCC2)C(=O)O1,4,2,-2.445599999999998,29.92951599999998,34.286484,371.0444979640003,True
O=C1O[Pt--]2([NH2+][C@@H]3CCCC[C@@H]3[NH2+]2)OC1=O,4,2,-2.648099999999997,34.603101999999986,38.57289800000002,397.0601480280004,True
[NH3+][Pt--]1([NH3+])OCC(=O)O1,3,2,-3.1424999999999983,19.78034399999999,29.405655999999993,303.0182832160002,True
C[C@H]1CC(=O)O[Pt--]2([NH2+]CC3CCC3C[NH2+]2)O1,3,2,-1.6810999999999963,41.14185999999997,43.72414000000004,411.1121836000006,True
CC(C)C1OC2C[NH2+][Pt--]3([NH2+]CC2O1)OC(=O)CC(=O)O3,6,2,-2.8030999999999944,45.21785999999997,48.06414000000005,471.0969274600005,True
CC(=O)O[Pt@OH2--]([NH3+])(Cl)(Cl)([NH2+]C1CCCCC1)OC(C)=O,4,2,0.4434999999999989,47.637445999999976,54.09855400000008,499.06045364400063,True
Clc1c[nH]c2[n+](cccc12)[Pt@SP1--](Cl)(Cl)[n+]1cccc2c(Cl)c[nH]c12,0,2,4.218900000000001,49.66793,33.91207000000001,568.9307481400003,False
Cl[Pt@SP1--](Cl)([n+]1cccc2c(I)c[nH]c12)[n+]1cccc2c(I)c[nH]c12,0,2,4.1213000000000015,56.00793000000001,40.25207000000003,752.8019887800003,False
Cl[Pt@SP1--](Cl)([n+]1cc(Br)cc2cc[nH]c12)[n+]1cc(Br)cc2cc[nH]c12,0,2,4.437100000000002,51.40793,35.652070000000016,656.8297169800003,False
Clc1c[nH]c2[n+](cccc12)[Pt--]1(OC(=O)C(=O)O1)[n+]1cccc2c(Cl)c[nH]c12,4,2,1.8412999999999997,51.85593,40.14007000000003,586.9727012600001,False
Ic1c[nH]c2[n+](cccc12)[Pt--]1(OC(=O)C(=O)O1)[n+]1cccc2c(I)c[nH]c12,4,2,1.7436999999999998,58.195930000000004,46.480070000000026,770.8439419000001,False
Brc1c[n+](c2[nH]ccc2c1)[Pt--]1(OC(=O)C(=O)O1)[n+]1cc(Br)cc2cc[nH]c12,4,2,2.0595,53.595929999999996,41.880070000000025,674.8716701000002,False
CC(C)Oc1cccc(OC(C)C)c1[N+]1=CC=[N+](c2c(OC(C)C)cccc2OC(C)C)[Pt--]1(Cl)Cl,4,0,7.270300000000007,83.69254799999997,64.7794520000001,705.1700040920009,False
COC1=[N+](c2c(OC)cc(OC)cc2OC)[Pt--](Cl)(Cl)[N+](=C1OC)c1c(OC)cc(OC)cc1OC,8,0,4.121300000000003,74.88620399999998,63.697796000000096,713.0870623160009,False
COC1=[N+](c2c(OC(C)C)cccc2OC(C)C)[Pt--](Cl)(Cl)[N+](=C1OC)c1c(OC(C)C)cccc1OC(C)C,6,0,7.218500000000008,91.30371999999997,72.26428000000011,765.1911334600012,False
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)C5CC[C@@]34C)C12)C(=O)NCC[NH+]1CC[NH2+][Pt--]1(Cl)[S+](C)(C)=O,4,3,4.965600000000006,126.22313099999995,94.53486900000019,891.4183238240921,False
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)C5CC[C@@]34C)C12)C(=O)NCC[NH+]1CC[NH2+][Pt--]1(Cl)Cl,3,3,5.445300000000004,117.36037299999995,84.67762700000014,848.3737892720019,False
C[S+](C)(=O)[Pt--]1(Cl)[NH2+]CC(O)C[NH2+]1,2,3,-2.700499999999998,34.402687999999976,38.18931200000002,398.0263439520905,True
OC1C[NH2+][Pt--](Cl)(Cl)[NH2+]C1,1,3,-2.2207999999999997,25.539929999999984,28.332069999999998,354.9818094000003,True
ClCN1C=[N+](C2=C1C=CC=C2)[Pt@SP1--](Cl)(Cl)[N+]1=CN(CCl)C2=C1C=CC=C2,2,0,4.251500000000004,55.675101999999995,40.20489800000003,596.9620482680004,False
CC(=O)OCN1C=[N+](C2=C1C=CC=C2)[Pt@SP1--](Cl)(Cl)[N+]1=CN(COC(C)=O)C2=C1C=CC=C2,6,0,2.900100000000001,65.20385999999999,50.41214000000006,645.0509515800006,False
OCCN1C=[N+](C2=C1C=CC=C2)[Pt@SP1--](Cl)(Cl)[N+]1=CN(CCO)C2=C1C=CC=C2,4,2,1.8435,60.25985999999998,45.204140000000045,589.0611223400006,False
CC1=[N+](C2=C(C=CC=C2)N1CCl)[Pt@SP1--](Cl)(Cl)[N+]1=C(C)N(CCl)C2=C1C=CC=C2,2,0,4.868340000000004,61.682273999999985,44.21772600000004,624.9933483960006,False
CC(=O)OCN1C(C)=[N+](C2=C1C=CC=C2)[Pt@SP1--](Cl)(Cl)[N+]1=C(C)N(COC(C)=O)C2=C1C=CC=C2,6,0,3.5169400000000026,71.21103199999999,54.42496800000007,673.0822517080007,False
CC1=[N+](C2=C(C=CC=C2)N1CCO)[Pt@SP1--](Cl)(Cl)[N+]1=C(C)N(CCO)C2=C1C=CC=C2,4,2,2.4603400000000004,66.26703199999999,49.21696800000006,617.0924224680007,False
